case,seed,synapse_current_max_ua,total_current_max_ua,best_test_acc_pct,final_test_acc_pct,config_path,log_path
syn_1p0_total_50,41,1.0,50.0,73.97,73.97,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_1p0_total_50_seed41.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_1p0_total_50_seed41.log
syn_1p0_total_50,42,1.0,50.0,73.75,73.73,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_1p0_total_50_seed42.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_1p0_total_50_seed42.log
syn_1p0_total_50,43,1.0,50.0,74.31,74.28,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_1p0_total_50_seed43.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_1p0_total_50_seed43.log
syn_3p0_total_50,41,3.0,50.0,83.41,83.38,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_3p0_total_50_seed41.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_3p0_total_50_seed41.log
syn_3p0_total_50,42,3.0,50.0,83.62,83.52,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_3p0_total_50_seed42.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_3p0_total_50_seed42.log
syn_3p0_total_50,43,3.0,50.0,83.7,83.59,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_3p0_total_50_seed43.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_3p0_total_50_seed43.log
syn_4p5_total_50,41,4.5,50.0,85.88,85.73,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_4p5_total_50_seed41.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_4p5_total_50_seed41.log
syn_4p5_total_50,42,4.5,50.0,85.37,85.3,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_4p5_total_50_seed42.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_4p5_total_50_seed42.log
syn_4p5_total_50,43,4.5,50.0,85.18,85.02,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_4p5_total_50_seed43.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_4p5_total_50_seed43.log
syn_6p0_total_100,41,6.0,100.0,87.0,87.0,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_6p0_total_100_seed41.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_6p0_total_100_seed41.log
syn_6p0_total_100,42,6.0,100.0,85.66,85.39,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_6p0_total_100_seed42.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_6p0_total_100_seed42.log
syn_6p0_total_100,43,6.0,100.0,85.8,85.8,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/configs/syn_6p0_total_100_seed43.json,/Users/eoghancollins/Tarskii/gilgamesh/artifacts/current_cap_repeat_3seed/logs/syn_6p0_total_100_seed43.log
